001	Salmonella infections
002	Shigellosis and amebiasis
003	Certain other intestinal infections
005	Respiratory tuberculosis
006	Other tuberculosis
007	Whooping cough
008	Scarlet fever and erysipelas
009	Meningococcal infection
010	Septicemia
011	Syphilis
012	Acute poliomyelitis
013	Arthropod-borne viral encephalitis
014	Measles
015	Viral hepatitis
016	Human immunodeficiency virus (HIV) disease
017	Malaria
018	Other and unspecified infectious and parasitic diseases and their sequelae
020	Malignant neoplasms of lip, oral cavity and pharynx
021	Malignant neoplasm of esophagus
022	Malignant neoplasm of stomach
023	Malignant neoplasms of colon, rectum and anus
024	Malignant neoplasms of liver and intrahepatic bile ducts
025	Malignant neoplasm of pancreas
026	Malignant neoplasm of larynx
027	Malignant neoplams of trachea, bronchus and lung
028	Malignant melanoma of skin
029	Malignant neoplasm of breast
030	Malignant neoplasm of cervis uteri
031	Malignant neoplasms of corpus uteri and uterus, part unspecified
032	Malignant neoplasm of ovary
033	Malignant neoplasm of prostate
034	Malignant neoplasms of kidney and renal pelvis
035	Malignant neoplasm of bladder
036	Malignant neoplams of meninges, brain and other parts of central nervous system
038	Hodgkin's disease
039	Non-Hodgkin's lymphoma
040	Leukemia
041	Multiple myeloma and immunoproliferative neoplasms
042	Other and unspecified malignant neoplasms of lymphoid, hematopoietic and related tissue
043	All other and unspecified malignant neoplasms
044	In situ neoplams, benign neoplasms and neoplasms of uncertain and unknown behavior
045	Anemias
046	Diabetes mellitus
048	Malnutrition
049	Other nutritional deficiencies
050	Meningitis
051	Parkinson's disease
052	Alzheimer's disease
055	Acute rheumatic fever and chronic rheumatic heart disease
056	Hypertensive heart disease
057	Hypertensive heart and renal disease
059	Acute myocardial infarction
060	Other acute ischemic heart diseases
062	Atherosclerotic cardiovascular disease, so described
063	All other forms of chronic ischemic heart disease
065	Acute and subacute endocarditis
066	Diseases of pericardium and acute myocarditis
067	Heart failure
068	All other forms of heart disease
069	Essential hypertension and hypertensive renal disease
070	Cerebrovascular diseases
071	Atherosclerosis
073	Aortic aneurysm and dissection
074	Other diseases of arteries, arterioles and capillaries
075	Other disorders of circulatory system
077	Influenza
078	Pneumonia
080	Acute bronchitis and bronchiolitis
081	Other and unspecified acute lower respiratory infections
083	Bronchitis, chronic and unspecified
084	Emphysema
085	Asthma
086	Other chronic lower respiratory diseases
087	Pneumoconioses and chemical effects
088	Pneumonitis due to solids and liquids
089	Other diseases of respiratory system
090	Peptic ulcer
091	Diseases of appendix
092	Hernia
094	Alcoholic liver disease
095	Other chronic liver disease and cirrhosis
096	Cholelithiasis and other disorders of gallbladder
098	Acute and rapidly progressive nephritic and nephrotic syndrome
099	Chronic glomerulonephritis, nephritis and nephropathy not specified as acute or chronic, and renal sclerosis unspecified
100	Renal failure
101	Other disorders of kidney
102	Infections of kidney
103	Hyperplasia of prostate
104	Inflammatory diseases of female pelvic organs
106	Pregnancy with abortive outcome
107	Other complications of pregnancy, childbirth and the puerperium
108	Certain conditions originating in the perinatal peroid
109	Congenital malformations, deformations and chromosomal abnormalities
110	Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified
111	All other diseases
114	Motor vehicle accidents
115	Other land transport accidents
116	Water, air and space, and other and unspecified transport accidents and their sequelae
118	Falls
119	Accidental discharge of firearms
120	Accidental drowning and submersion
121	Accidental exposure to smoke, fire and flames
122	Accidental poisoning and exposure to noxious substances
123	Other and unspecified nontransport accidents and their sequelae
125	Intentional self-harm (suicide) by discharge of firearms
126	Intentional self-harm (suicide) by other and unspecified means and their sequelae
128	Assault (homicide) by discharge of firearms
129	Assault (homicide) by other and unspecified means and their sequelae
130	Legal intervention
132	Discharge of firearms, undetermined intent
133	Other and unspecified events of undetermined intent and their sequelae
134	Operations of war and their sequelae
135	Complications of medical and surgical care
