State	State Code	Year	Race	Gender	Age Group	Population
Alabama	01	1979	Black	Female	< 1 year	11144
Alabama	01	1979	Black	Female	1-4 years	37835
Alabama	01	1979	Black	Female	5-9 years	49104
Alabama	01	1979	Black	Female	10-14 years	50942
Alabama	01	1979	Black	Female	15-19 years	59084
Alabama	01	1979	Black	Female	20-24 years	53107
Alabama	01	1979	Black	Female	25-34 years	71115
Alabama	01	1979	Black	Female	35-44 years	45355
Alabama	01	1979	Black	Female	45-54 years	45167
Alabama	01	1979	Black	Female	55-64 years	42446
Alabama	01	1979	Black	Female	65-74 years	38543
Alabama	01	1979	Black	Female	75-84 years	18259
Alabama	01	1979	Black	Female	85+ years	5755
Alabama	01	1979	Black	Male	< 1 year	11199
Alabama	01	1979	Black	Male	1-4 years	38073
Alabama	01	1979	Black	Male	5-9 years	50250
Alabama	01	1979	Black	Male	10-14 years	51631
Alabama	01	1979	Black	Male	15-19 years	57385
Alabama	01	1979	Black	Male	20-24 years	45076
Alabama	01	1979	Black	Male	25-34 years	60796
Alabama	01	1979	Black	Male	35-44 years	35056
Alabama	01	1979	Black	Male	45-54 years	33012
Alabama	01	1979	Black	Male	55-64 years	32060
Alabama	01	1979	Black	Male	65-74 years	27974
Alabama	01	1979	Black	Male	75-84 years	12046
Alabama	01	1979	Black	Male	85+ years	2726
Alabama	01	1979	Other	Female	< 1 year	134
Alabama	01	1979	Other	Female	20-24 years	905
Alabama	01	1979	Other	Female	25-34 years	2061
Alabama	01	1979	Other	Female	35-44 years	1269
Alabama	01	1979	Other	Female	45-54 years	911
Alabama	01	1979	Other	Female	55-64 years	459
Alabama	01	1979	Other	Female	65-74 years	374
Alabama	01	1979	Other	Female	85+ years	39
Alabama	01	1979	Other	Male	< 1 year	144
Alabama	01	1979	Other	Male	20-24 years	821
Alabama	01	1979	Other	Male	55-64 years	358
Alabama	01	1979	Other	Male	65-74 years	223
Alabama	01	1979	Other	Male	75-84 years	81
Alabama	01	1979	Other	Male	85+ years	21
Alabama	01	1979	White	Female	< 1 year	19404
Alabama	01	1979	White	Female	1-4 years	76898
Alabama	01	1979	White	Female	5-9 years	105264
Alabama	01	1979	White	Female	10-14 years	110729
Alabama	01	1979	White	Female	15-19 years	129175
Alabama	01	1979	White	Female	20-24 years	128838
Alabama	01	1979	White	Female	25-34 years	224169
Alabama	01	1979	White	Female	35-44 years	172540
Alabama	01	1979	White	Female	45-54 years	160271
Alabama	01	1979	White	Female	55-64 years	150860
Alabama	01	1979	White	Female	65-74 years	119547
Alabama	01	1979	White	Female	75-84 years	59646
Alabama	01	1979	White	Female	85+ years	17448
Alabama	01	1979	White	Male	< 1 year	20578
Alabama	01	1979	White	Male	1-4 years	80210
Alabama	01	1979	White	Male	5-9 years	111112
Alabama	01	1979	White	Male	10-14 years	117563
Alabama	01	1979	White	Male	15-19 years	134809
Alabama	01	1979	White	Male	20-24 years	129881
Alabama	01	1979	White	Male	25-34 years	222993
Alabama	01	1979	White	Male	35-44 years	167649
Alabama	01	1979	White	Male	45-54 years	151035
Alabama	01	1979	White	Male	55-64 years	131177
Alabama	01	1979	White	Male	65-74 years	88572
Alabama	01	1979	White	Male	75-84 years	33948
Alabama	01	1979	White	Male	85+ years	7016
Alabama	01	1980	Black	Female	< 1 year	10964
Alabama	01	1980	Black	Female	1-4 years	39183
Alabama	01	1980	Black	Female	5-9 years	49266
Alabama	01	1980	Black	Female	10-14 years	50403
Alabama	01	1980	Black	Female	15-19 years	58681
Alabama	01	1980	Black	Female	20-24 years	53850
Alabama	01	1980	Black	Female	25-34 years	75653
Alabama	01	1980	Black	Female	35-44 years	46415
Alabama	01	1980	Black	Female	45-54 years	45146
Alabama	01	1980	Black	Female	55-64 years	42244
Alabama	01	1980	Black	Female	65-74 years	38430
Alabama	01	1980	Black	Female	75-84 years	18749
Alabama	01	1980	Black	Female	85+ years	5931
Alabama	01	1980	Black	Male	< 1 year	11395
Alabama	01	1980	Black	Male	1-4 years	39375
Alabama	01	1980	Black	Male	5-9 years	50566
Alabama	01	1980	Black	Male	10-14 years	51072
Alabama	01	1980	Black	Male	15-19 years	57005
Alabama	01	1980	Black	Male	20-24 years	45885
Alabama	01	1980	Black	Male	25-34 years	65356
Alabama	01	1980	Black	Male	35-44 years	36523
Alabama	01	1980	Black	Male	45-54 years	32996
Alabama	01	1980	Black	Male	55-64 years	31709
Alabama	01	1980	Black	Male	65-74 years	27881
Alabama	01	1980	Black	Male	75-84 years	12231
